ActionId|ActionName|ActionCssClass|Mvc|ActionParentId|ActionIdentification|DependantId
--------|----------|--------------|---|--------------|--------------------|-----------
1|Auth|_CSS_1|/|0|1|0
2|Auth Table|_CSS_2|/authfilter/getdllauthtablevalues|1|1|0
3|Auth Data|_CSS_3|/authfilter/getauthdata|1|1|0
100|Customer|_CSS_100|/|0|1|0
101|Customer Listing|_CSS_101|/customer/customergetall|100|1|0
102|Customer Create|_CSS_102|/customer/customersave|100|1|0
103|Customer Detail|_CSS_103|/customer/customerdetail|100|1|0
104|Customer Stock Allocation|_CSS_104|/customer/stockallocationbycustomer|103|1|0
105|Customer Stock Allocation History|_CSS_105|/customer/stockallocationhistorySave|103|1|0
106|Customer Section|_CSS_106|/customer/customersectiongetbyid|100|1|0
200|Employee|_CSS_200|/|0|1|0
201|Employee Listing|_CSS_201|/user/usergetall|200|1|0
202|Employee Create|_CSS_202|/user/usersave|200|1|0
203|Employee Detail|_CSS_203|/user/userdetail|201|1|0
204|Employee Section|_CSS_204|/user/employeesectiongetbyid|201|1|0
300|Role|_CSS_300|/|0|1|0
301|Role Listing|_CSS_301|/user/rolesgetall|300|1|0
302|Role Save/Edit|_CSS_302|/user/rolesave|300|1|0
304|Assign Roles|_CSS_304|/user/assignroles|300|1|0
400|Stock|_CSS_400|/|0|1|0
401|Stock Edit|_CSS_401|/stock/stockdetailsave|413|1|0
402|Stock Feature|_CSS_402|/stock/stockfeaturesave|413|1|0
403|Stock File|_CSS_403|/stock/stockdocumentsbyfolderid|413|1|0
404|Stock Reservation|_CSS_404|/stock/stockreservationdetailsave|413|1|0
405|Stock Status|_CSS_405|/stock/stockstatussave|413|1|0
406|Stock Refund|_CSS_406|/stock/stockrefundsave|413|1|0
407|Stock Financial|_CSS_407|/stock/stockfinancialsave|416|1|0
408|Stock Inspection|_CSS_408|/stock/stockinspectionsave|413|1|0
409|Stock File Upload|_CSS_409|/stock/stockfilesave|403|1|0
410|Stock Sections|_CSS_410|/stock/stocksectiongetbyid|413|1|0
411|Stock Port|_CSS_411|/stock/stockportdetailsave|413|1|0
412|Stock BL|_CSS_412|/stock/stockbldetailsave|413|1|0
413|Stock Detail|_CSS_413|/stock/stockdetail|400|1|0
414|Stock Note|_CSS_414|/stock/stockinternalnotegetbyid|413|1|0
415|Stock Note Save/Edit|_CSS_415|/stock/stockinternalnotesave|414|1|0
416|Stock Financials|_CSS_416|/stock/stockfinancialgetallbystockid|413|1|0
417|Stock Listing|_CSS_417|/stock|400|1|0
418|Stock Shipment Detail|_CSS_418|/stock/stockshipmentdetailsave|413|1|0
419|Stock Save|_CSS_419|/stock/stocksave|400|1|0
420|Stock Specification|_CSS_420|/stock/stockspecificationsave|413|1|0
421|Stock Shipment Party|_CSS_421|/stock/stockshipmentpartysave|413|1|0
422|Stock Cost Detail|_CSS_422|/stock/stockcostdetailsave|413|1|0
423|Stock Weight Dimension|_CSS_423|/stock/stockweightdimensionlsave|413|1|0
424|Stock Price|_CSS_424|/stock/stockpricesave|413|1|0
425|Stock Financial Delete|_CSS_425|/stock/stockfinancialdelete|416|1|0
426|Stock Courier Info|_CSS_426|/stock/stockcourierinfosave|413|1|0
427|Stock Section|_CSS_427|/stock/stocksectiongetbyid|413|1|0
