TableName|Cols|Rows_
---------|----|-----
__EFMigrationsHistory|2|1
ActionURlTbl|2|899
AspNetRoleClaims|4|0
AspNetRoles|4|0
AspNetUserClaims|4|0
AspNetUserLogins|4|0
AspNetUserRoles|2|0
AspNetUsers|15|2296
AspNetUserTokens|4|0
AuthorizationKeys|4|1
BankStatement|9|39
BankStatementDetail|21|61
BankStatementDetailApproval|17|21
BankStatementDetailApprovalComment|11|26
Base_AdjustmentType|9|2
Base_Approved|2|3
Base_Availability|10|2
Base_Bank|10|13
Base_BodyType|10|20
Base_City|11|32766
Base_Color|10|24
Base_CompanyIncomeType|7|2
Base_ContainerType|10|2
Base_ControlTypes|8|7
Base_Country|17|211
Base_CountryCodes|9|207
Base_Currency|10|6
Base_CustomerCountry|10|2
Base_CustomerStatus|3|4
Base_CustomerType|2|4
Base_DataTypes|8|6
Base_DischargeCountry|10|65
Base_DischargePort|11|88
Base_DriveType|10|10
Base_FinancialType|5|18
Base_Folder|8|9
Base_FreightStatus|10|2
Base_FreightType|10|2
Base_FuelType|10|6
Base_Gender|2|2
Base_Location|10|3
Base_Make|11|75
Base_Mileage|7|0
Base_MinDepositeRequired|10|4
Base_Model|12|1722
Base_ModeOfPayment|9|2
Base_ModificationType|10|39
Base_NotificationType|16|22
Base_OriginCountry|11|11
Base_Port|11|5
Base_PortDischarge|11|5
Base_Price|5|4
Base_Reconcile|9|3
Base_RemarkSource|2|2
Base_RepairType|10|43
Base_ReportCategory|12|3
Base_ReservationStatus|10|2
Base_ShippingCompany|14|4
Base_ShippingName|10|1
Base_ShippingScheduleStatus|7|4
Base_ShippmentType|10|2
Base_Source|2|20
Base_Steering|10|2
Base_Stock_Feature|10|29
Base_StockStatus|10|16
Base_StockType|10|3
Base_SubBodyType|10|2
base_sync_bodytype_mapping|11|16
base_sync_color_mapping|11|80
base_sync_FuelType_mapping|11|5
base_sync_make_mapping|11|58
base_sync_model_mapping|13|1800
base_sync_Transmission_mapping|11|8
Base_TransactionMode|2|4
Base_TransactionType|9|3
Base_Transmission|11|8
Base_UserStatus|2|2
Base_VendorServiceType|3|18
Base_VesselName|11|5
Base_WhitelistedIPs|10|9
Base_Yard|11|12
BaseBodyType_Icons|3|20
bk|10|196
bk_|15|471
bk_SYS_AuthTable|15|239
CompanyIncome|12|6
CurrencyExchangeRates|8|30
Customer_Wallet|10|7374
Customer_WalletDetail|18|50
Customer_WalletTransfer|18|1
Customer_WalletTransferApproverRole|8|2
Customer_WalletTransferHistory|10|2
CustomerBalanceForfeiture|11|4
CustomerBalanceForfeitureRelease|9|2
CustomerComparisonItems|7|0
CustomerComparisons|7|0
CustomerContact|12|0
CustomerContactMethod|12|0
CustomerFavouriteStock|10|58
CustomerPhoneNumbers|5|175
CustomerRefundRequest|14|16
CustomerRefundRequest_Detail|10|24
CustomerRemarks|13|70
CustomerSaveSearches|11|28
CustomerStatus|8|2366
CustomerTagging|10|261
DataAccessScope|3|0
Debug_GetPublicMethodData|5|1424
DiscoutRequestStatus|2|5
EmployeePolicy|20|0
EmployeePolicy_New|20|0
Entity|9|25
EntityType|2|2
garagevisitype|2|2
Inquiry|53|1455
InquiryContactStatus|2|8
Leads|18|20
LoginAttempts|9|803
Notification|12|87
NotificationRecipient|11|865
NotificationTypeRoleMap|8|38
NotificationTypeUserMap|9|0
old_Inquiry|33|1250
Payment|1|0
prc_stock_price_updates|16|128
RefundClaim|8|0
RefundClaimDetail|18|0
RegisteredDevices|7|1
ReportColumns|14|142
ReportFilters|16|90
ReportMaster|16|6
Role|10|25
RoleAction|7|157
RoleActionMapping|8|734
SaveComparisons|11|32
SaveComparisonsItems|9|68
ShipmentParty|14|59
ShippingSchedule|20|6
ShippingScheduleContainer|12|3
ShippingScheduleStock|8|6
ShippingScheduleStop|12|50
SortOptions|7|7
Stock|27|221
Stock_Adjustment|16|35
Stock_Allocation_History|16|151
Stock_BL_Detail|12|221
Stock_BL_Detail_History|16|101
Stock_Cancellation|10|143
Stock_Cost_Detail|22|221
Stock_Courier_Info|13|221
Stock_CustomerOrder|8|14
Stock_Deallocation_Request|13|2
Stock_Discount_Requests|14|17
Stock_Feature|9|6
Stock_File|15|1822
Stock_Financial|14|538
Stock_Financial_History|17|357
Stock_FinancialBid|12|272
Stock_Folder|12|1977
Stock_Image|10|110
Stock_Info|10|836
Stock_InfoTypes|9|7
Stock_Inspection|16|221
Stock_Inspection_History|20|140
Stock_InternalNote|9|0
Stock_J_Status|2|10
Stock_Modification_Price|13|126
Stock_Modification_Price_History|17|133
Stock_ModificationBid_Price|13|109
Stock_Port_Detail|10|221
Stock_Port_Detail_History|14|133
Stock_Price|12|410
Stock_Refund|11|221
Stock_Repair_Cost|12|1
Stock_Reservation_Detail|24|221
Stock_Reservation_Detail_History|27|263
Stock_ReservationBid|10|178
Stock_ReservationBid_Detail|28|97
Stock_Shipment_Detail|16|221
Stock_ShipmentParty|9|138
Stock_Specification|34|221
Stock_Status|16|221
Stock_StatusDetail|11|785
Stock_Videos|9|2
Stock_Weight_Dimension|14|221
StockGarageVisit|6|442
StockImages|14|1655
StockJourney|6|516489
StockStatusRefreshOutbox|9|1430
StockType|2|4
StockWorkflowTask|11|1
Supplier|9|10
SYS_AuthMethod|4|14
SYS_AuthParam|5|14
SYS_AuthTable|15|293
SYS_DropDownsWithAuth|4|40
SYS_DropDownsWithOutAuth|4|14
SYS_PublicMethod|4|8
SYS_PublicParam|5|22
Temp_BulkData|12|286
Test|3|0
test_StockData|30|2
Test_TYPE_Stock_GetStatusDetail|2|0
Testing|2|0
TestLead|16|0
TestList_TB|137|0
TestParamLog|4|0
TestPayment|1|0
tpi_respondio_config|5|20
tpi_respondio_contactsync_batch|5|2
tpi_respondio_contactsync_datadump|26|1923
tpi_respondio_contactsync_datadump_assignee|7|162
tpi_respondio_contactsync_datadump_custom_fields|5|1923
tpi_respondio_contactsync_datadump_tags|4|4777
tpi_respondio_conversation_sync|11|0
tpi_respondio_country_map|7|207
tpi_respondio_customerpush|18|500
tpi_respondio_message|21|0
tpi_respondio_message_attachment|13|0
TransportAudit|7|13
TransportBodyTypeProfit|10|0
TransportBodyTypeQuotePolicy|8|2
TransportCountry|10|1
TransportLocation|24|18989
TransportModelBodyType|9|34
TransportPricingRule|17|60
TransportQuote|7|18
TransportRateBand|18|2
TransportRoute|11|18554
TransportSettings|11|1
TransportYardBodyType|5|20
UserAuthState|3|2
UserCountries|3|2260
UserEntities|3|272
UserHierarchy|8|22
UserProfile|24|1360
UserProfileDetail|17|1952
UserReportingLines|9|0
UserType|2|23
Vendor|14|6
VendorJob|22|9
VendorJobPaymentAllocation|8|7
VendorSettlement|11|5
VendorWallet|10|6
WEB_ApiKeys|6|1
web_stock_tabs|9|6
